type,indicator,classification,notes
domain,vital-infosante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verfication-edf.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-renouvellement.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,restriction-abonnement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvel-cpam.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,my-ameli-infos.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,moncompte-client.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mon-comptes-vitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mescomptes-support.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macarte-infosecu.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ma-demande-ameli.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cfspartimpotsgouv.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartesvital.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assuvitale-2022.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurancemeli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assur-ccvital.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelicontacte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-info-serv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-espace-priver.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amazon-informations-comptes.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,activation-certicode.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vosdroits-assurancemaladie.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sante-assurancemaladie-cartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvels-cartesvits.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-clients.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-acceuil.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvcartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,regul-netflix.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macartevitale-connexion.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macartevitale-client.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infosvital.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infosecu-inform.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infos-assurancemaladie.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,help-clients.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,clients-santes.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chronopost-sms.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartevital-assurance.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,banque-france-verification.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurances-cartes-vitales.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assumaladie-renouvellement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,asset-collab.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelirenouvcartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-vosdroits.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-service-espace.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-cartevitale-information.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-carte-vit.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,votre-facture-edf.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verifyasset-collab.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouveller-vosdroits.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,lbp-secure.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infosecurpaypal.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-macarte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,clients-support.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,client-chronopost.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartesvits-renouvels.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,2022-renouvellement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
